TMS_ID,vt_hours
EP000000211956,222.3730556
EP000000211957,835.1777778
EP000000211959,933.9416667
EP000000211962,4999.984722
EP000000211963,4375.606944
EP000000211965,828.2675
EP000000351541,125.1813889
EP000000351542,149.9533333
EP000000351543,48.35861111
EP000000351544,424.0702778
EP000000351545,2721.873611
EP000000351546,825.1827778
EP000000510001,7.553611111
EP000000510003,2.796944444
EP000000510004,2.140277778
EP000000510005,1.586111111
EP000000510007,1.546666667
EP000000510009,37.20638889
EP000000510010,12.82888889
EP000000510011,14.60055556
EP000000510012,9.956666667
EP000000510013,11.54666667
EP000000510014,36.71361111
EP000000510015,20.095
EP000000510016,15.2275
EP000000510017,12.45888889
EP000000510018,11.82833333
EP000000510019,8.568055556
EP000000510020,4.108333333
EP000000510021,5.202222222
EP000000510022,4.694722222
EP000000510023,10.36444444
EP000000510024,0.347777778
EP000000510025,0.033611111
EP000000510027,0.367777778
EP000000510028,25.10666667
EP000000510177,47.8675
EP000000510178,80.02861111
EP000002880279,20.4025
EP000002880284,1.8825
EP000002880285,6.404166667
EP000003240230,43.72666667
EP000003240231,38.79972222
EP000003240232,47.2525
EP000003240233,45.71388889
EP000003240234,77.29555556
EP000003240235,60.47083333
EP000003240236,13.02777778
EP000003240237,12.48805556
EP000003240238,24.55222222
EP000003500558,25.7325
EP000003500562,19.20083333
EP000003500563,5.865277778
EP000003500570,5.532222222
EP000003500571,7.381111111
EP000003500572,3.443055556
EP000003500574,6.207222222
EP000003500575,4.756666667
EP000003500576,9.676944444
EP000003500577,6.300277778
EP000003500579,4.485833333
EP000003500624,9.5225
EP000003500630,7.079722222
EP000003500633,2.704722222
EP000003500678,2.995
EP000003500682,0.975
EP000003500683,3.866944444
EP000003500684,4.294444444
EP000003500688,4.159722222
EP000003500691,1.949166667
EP000003500692,4.17
EP000003500693,7.046666667
EP000003500694,4.326944444
EP000003500716,3.468888889
EP000003500717,3.283611111
EP000004790253,16.31722222
EP000004790254,9.441944444
EP000004790255,2.508611111
EP000004790256,6.543055556
EP000004790257,16.23416667
EP000004790258,7.903055556
EP000004790259,3.882222222
EP000004790260,2.111388889
EP000004790261,2.801666667
EP000004790262,7.423888889
EP000005740001,32.36305556
EP000005740002,3.501111111
EP000005740003,1.326666667
EP000005740004,2.53
EP000005740005,0.005
EP000005740006,0.859722222
EP000005740007,1.1025
EP000005740008,0.859722222
EP000005740009,1.869722222
EP000005740010,6.024722222
EP000005740011,4.472777778
EP000005740012,3.32
EP000005740013,0.853888889
EP000005740014,1.680277778
EP000005740015,3.543055556
EP000005740016,0.314444444
EP000005740017,0.010833333
EP000005740018,12.02388889
EP000005740019,2.650277778
EP000005740020,2.2675
EP000005740021,1.688333333
EP000005740022,0.861388889
EP000005740023,0.225277778
EP000005740024,10.21583333
EP000005740025,3.4675
EP000005740026,5.857222222
EP000005740027,8.75
EP000005740028,9.556944444
EP000005740029,19.63388889
EP000005740030,12.02944444
EP000005740031,9.907222222
EP000005740032,1.140277778
EP000005740033,2.601111111
EP000005740034,7.191388889
EP000005740035,3.090277778
EP000005740036,12.70083333
EP000005740037,2.265
EP000005740038,3.294444444
EP000005740039,0.409444444
EP000005740040,0.226111111
EP000005740041,0.929166667
EP000005740042,2.036666667
EP000005740043,10.29833333
EP000005740044,0.888611111
EP000005740045,7.74
EP000005740046,0.120833333
EP000005740047,1.719444444
EP000005740048,9.218333333
EP000005740049,10.14555556
EP000005740050,0.013888889
EP000005740051,16.7925
EP000005740052,2.098611111
EP000005740053,0.848888889
EP000005740055,1.837222222
EP000005740056,0.806666667
EP000005740058,0.941666667
EP000005740059,0.001388889
EP000005740060,3.090833333
EP000005740062,0.964166667
EP000005740064,2.248055556
EP000005740067,0.778055556
EP000005740068,0.861666667
EP000005740069,0.861111111
EP000005740071,2.596666667
EP000005740072,0.035833333
EP000005740074,5.649166667
EP000005740075,0.976388889
EP000005740076,0.851666667
EP000005740078,1.059166667
EP000005740080,0.862222222
EP000005740081,6.026111111
EP000005740083,1.161666667
EP000005740084,0.350555556
EP000005740086,0.795
EP000005740087,0.909444444
EP000005740091,4.109166667
EP000005740092,6.194166667
EP000005740094,2.617777778
EP000005740095,6.013055556
EP000005740096,5.586666667
EP000005740097,6.768888889
