TMS_ID,vt_hours
0,343526.3422
0,1296131.731
EP000000211614,0.002222222
EP000000211780,0.149444444
EP000000211821,1.204166667
EP000000211854,0.245555556
EP000000211859,0.713333333
EP000000211865,2.045833333
EP000000211872,0.225555556
EP000000211875,0.055277778
EP000000211877,0.450833333
EP000000211881,0.889166667
EP000000211884,0.299166667
EP000000211885,0.731388889
EP000000211888,0.017777778
EP000000211889,1.209166667
EP000000211890,1.053055556
EP000000211893,0.097222222
EP000000211894,2.198888889
EP000000211896,0.869722222
EP000000211898,4.155277778
EP000000211899,1.300555556
EP000000211900,1.352777778
EP000000211902,1.113333333
EP000000211903,1.155555556
EP000000211904,0.221944444
EP000000211905,0.066388889
EP000000211906,0.959166667
EP000000211907,0.715
EP000000211908,0.933055556
EP000000211909,1.727777778
EP000000211912,7.2375
EP000000211913,4.543333333
EP000000211914,2.253611111
EP000000211915,5.0225
EP000000211916,1.765833333
EP000000211918,0.008055556
EP000000211919,0.002222222
EP000000211921,1.351944444
EP000000211922,6.214166667
EP000000211923,4.718333333
EP000000211924,0.863333333
EP000000211925,5.568055556
EP000000211926,8.896388889
EP000000211927,7.5775
EP000000211928,3.16
EP000000211929,2560.351667
EP000000211930,4.320555556
EP000000211931,0.02
EP000000211932,9.700555556
EP000000211933,1.053333333
EP000000211934,3.351944444
EP000000211935,11.06527778
EP000000211936,7.629166667
EP000000211937,3.631388889
EP000000211938,10.99916667
EP000000211939,1.093055556
EP000000211940,2.083055556
EP000000211941,7.891944444
EP000000211942,5.355833333
EP000000211943,13.42
EP000000211945,3.188888889
EP000000211946,1.402777778
EP000000211947,8.918055556
EP000000211948,0.793611111
EP000000211949,2.105555556
EP000000211951,1.203055556
EP000000211952,2.557222222
EP000000211954,7.723611111
EP000000211955,3.284166667
EP000000211956,7.375555556
EP000000211957,13.18805556
EP000000211959,7.011111111
EP000000211962,0.203611111
EP000000211963,11.05861111
EP000000211965,3.391111111
EP000000211966,1454.389167
EP000000211967,5048.967778
EP000000211970,3288.990833
EP000000211971,31115.43306
EP000000211972,1964.759722
EP000000351444,0.023333333
EP000000351449,1.000277778
EP000000351451,0.009444444
EP000000351462,0.374444444
EP000000351463,0.129722222
EP000000351467,0.070833333
EP000000351472,0.048333333
EP000000351473,0.015555556
EP000000351474,1.187222222
EP000000351478,1
EP000000351481,0.737222222
EP000000351484,0.0425
EP000000351487,0.031388889
EP000000351488,1.172777778
EP000000351489,0.076111111
EP000000351490,0.175833333
EP000000351491,0.287777778
EP000000351492,0.696944444
EP000000351493,0.318888889
EP000000351494,0.030833333
EP000000351495,0.018888889
EP000000351496,0.037777778
EP000000351498,0.314444444
EP000000351499,0.940277778
EP000000351500,0.025833333
EP000000351501,1.501111111
EP000000351502,1.640555556
EP000000351503,2.269444444
EP000000351504,0.120833333
EP000000351505,0.278611111
EP000000351506,0.111666667
EP000000351507,1.147222222
EP000000351508,0.886666667
EP000000351509,0.81
EP000000351510,2.534166667
EP000000351511,1.221111111
EP000000351512,0.090555556
EP000000351513,0.0025
EP000000351514,1.212222222
EP000000351516,0.0025
EP000000351517,0.167777778
EP000000351518,0.048888889
EP000000351520,2.055833333
EP000000351521,0.001111111
EP000000351522,0.076388889
EP000000351523,0.071111111
EP000000351524,3.443333333
EP000000351525,0.018055556
EP000000351528,0.753888889
EP000000351529,2.045555556
EP000000351530,1.198611111
EP000000351531,1.961111111
EP000000351532,2.262777778
EP000000351533,2.507222222
EP000000351534,0.77
